ChampionId,AllyAdvice,EnemyAdvice
266,Use Umbral Dash while casting The Darkin Blade to increase your chances of hitting the enemy.,"Aatrox's attacks are very telegraphed, so use the time to dodge the hit zones."
103,"Use Charm to set up your combos, it will make landing Orb of Deception and Fox-Fire dramatically easier.","Ahri's survivability is dramatically reduced when her Ultimate, Spirit Rush, is down."
84,Akali excels at killing fragile champions. Let your team initiate and then strike at the people in the back.,Akali can still be hit by area effect spells while obscured inside Twilight Shroud. Doing so will briefly reveal her position.
12,Using Pulverize can allow you to establish better positioning for Headbutt.,Alistar is very disruptive but very tough - try to target more fragile damage dealers.
32,"Amumu is highly dependent on teammates, so try laning with your friends for maximum effectiveness.",Avoid bunching up with other allies when Amumu has his ultimate available.
34,Timing Flash Frost with Frostbite can lead to devastating combinations.,"Try to gank Anivia when she's laning. With multiple people, it is easier to ensure that her egg dies."
1,Storing a stun for use with her ultimate can turn the tide of a team fight.,"Annie's summoned bear, Tibbers, burns opposing units around himself. Try to keep your distance from him after he's been summoned."
523,"Each of Aphelios' weapons have different strengths, so try to find the right situation for your current weapons. ","Each of Aphelios' weapons have different weaknesses, try to exploit the ones that work best for your champion. Watch out for the purple Gravity gun, it can root you."
22,"Try to fire Enchanted Crystal Arrow in the same direction enemies are moving, so it is more likely to hit.","Ashe has very few defensive options, and she's a good target to gank."
136,You can use Comet of Legend's flight to grow Starsurge to massive proportions.,"Try to get inside his orbit, since his stars can't hurt you up close."
268,"Be careful about putting down both of the soldiers stored by Arise! Unless you're going all-in, always have a soldier in your back pocket if you need to escape over a wall or if you misposition your other soldier and need damage now.",Azir relies on his soldiers to deal damage and can only move them so often. Try to capitalize on windows of time when his soldiers are stationary.
432,"It's important to collect chimes to improve your meep's attacks, but don't neglect your lane partner! Try to make a big entrance by bringing an ally into the lane with you with Magical Journey.","Bard's opponents can also travel through his Magical Journey doorways. You can follow him, if you think it's safe."
53,"The 1-2-3 combo of Rocket Grab, Power Fist, and Static Field can devastate an individual opponent.",Blitzcrank's passive Mana Barrier grants him a shield when he is low on health.
63,"You can deter enemies from standing near their minions by setting them ablaze, due to Conflagration.",Brand must land an ability before his combo is able to get started. Dodging his Sear or Pillar of Flame will disrupt his rhythm.
201,"Work with your allies to stack Concussive Blows, encourage them to basic attack marked targets.","Braum must land Winter's Bite or a basic attack to start Concussive Blows. If you get marked, exit combat range before getting hit 3 more times to avoid the stun."
51,Make use of her Yordle Snap Traps by placing them pre-emptively to ensure that you'll have one off of cooldown during combat.,Keep behind allied minions if Caitlyn is harassing you with Piltover Peacemaker (it deals less damage with each subsequent target).
164,"Try waiting until the other team is distracted with fighting your team, and use Hookshot to pick off vulnerable targets.","Camille's shield only works against one damage type, so hit her when she's vulnerable to your damage."
69,Use Twin Fang on poisoned stationary targets like monsters and units stunned by her Petrifying Gaze for maximum damage.,Be wary of Cassiopeia's damage potential with Twin Fang when she has you poisoned.
31,Try to line up your attacks with Vorpal Spikes so that they kill minions and harass enemy champions at the same time.,Purchasing a few HP items decreases the chances of Cho'Gath killing you quickly.
42,Phosphorus Bomb can be used to reveal enemy units that might be hiding in a nearby patch of brush.,"Watch out for Corki's Missile Barrage. They deal splash damage, so you can get hit even when hiding behind minions."
122,Decimate is a powerful harassment ability. Strike an enemy from maximum range for the greatest effect.,"When Darius's axe grab is on cooldown, he is vulnerable to harassment attacks."
131,"Landing Crescent Strike is critically important, but don't be afraid to miss. The cooldown is short and the mana cost is low.","Dodge Crescent Strike, or move to safety if you are affected by Moonlight."
